,Hr0,Hr1,Hr2,Hr3,Hr4,Hr5,Hr6,Hr7,Hr8,Hr9,Hr10,Hr11
147,12.01,15.3,18.7,18.18,20.99,21.5,22.11,21.9,22.21,22.75,22.95,22.24
148,15.3,18.7,18.18,20.99,21.5,22.11,21.9,22.21,22.75,22.95,22.24,22.21
149,18.7,18.18,20.99,21.5,22.11,21.9,22.21,22.75,22.95,22.24,22.21,22.37
150,18.18,20.99,21.5,22.11,21.9,22.21,22.75,22.95,22.24,22.21,22.37,39.81
151,20.99,21.5,22.11,21.9,22.21,22.75,22.95,22.24,22.21,22.37,39.81,31.11
152,21.5,22.11,21.9,22.21,22.75,22.95,22.24,22.21,22.37,39.81,31.11,22.4
153,22.11,21.9,22.21,22.75,22.95,22.24,22.21,22.37,39.81,31.11,22.4,21.85
154,21.9,22.21,22.75,22.95,22.24,22.21,22.37,39.81,31.11,22.4,21.85,21.79
155,22.21,22.75,22.95,22.24,22.21,22.37,39.81,31.11,22.4,21.85,21.79,20.5
156,22.75,22.95,22.24,22.21,22.37,39.81,31.11,22.4,21.85,21.79,20.5,18.49
157,22.95,22.24,22.21,22.37,39.81,31.11,22.4,21.85,21.79,20.5,18.49,15.54
158,22.24,22.21,22.37,39.81,31.11,22.4,21.85,21.79,20.5,18.49,15.54,15.31
159,22.21,22.37,39.81,31.11,22.4,21.85,21.79,20.5,18.49,15.54,15.31,15.46
160,22.37,39.81,31.11,22.4,21.85,21.79,20.5,18.49,15.54,15.31,15.46,16.9
161,39.81,31.11,22.4,21.85,21.79,20.5,18.49,15.54,15.31,15.46,16.9,17.96
162,31.11,22.4,21.85,21.79,20.5,18.49,15.54,15.31,15.46,16.9,17.96,20.91
163,22.4,21.85,21.79,20.5,18.49,15.54,15.31,15.46,16.9,17.96,20.91,23.55
164,21.85,21.79,20.5,18.49,15.54,15.31,15.46,16.9,17.96,20.91,23.55,26.42
165,21.79,20.5,18.49,15.54,15.31,15.46,16.9,17.96,20.91,23.55,26.42,24.95
166,20.5,18.49,15.54,15.31,15.46,16.9,17.96,20.91,23.55,26.42,24.95,22.01
167,18.49,15.54,15.31,15.46,16.9,17.96,20.91,23.55,26.42,24.95,22.01,22.51
168,15.54,15.31,15.46,16.9,17.96,20.91,23.55,26.42,24.95,22.01,22.51,20.61
169,15.31,15.46,16.9,17.96,20.91,23.55,26.42,24.95,22.01,22.51,20.61,21.37
170,15.46,16.9,17.96,20.91,23.55,26.42,24.95,22.01,22.51,20.61,21.37,21.74
171,16.9,17.96,20.91,23.55,26.42,24.95,22.01,22.51,20.61,21.37,21.74,21.49
172,17.96,20.91,23.55,26.42,24.95,22.01,22.51,20.61,21.37,21.74,21.49,21.13
173,20.91,23.55,26.42,24.95,22.01,22.51,20.61,21.37,21.74,21.49,21.13,21.73
174,23.55,26.42,24.95,22.01,22.51,20.61,21.37,21.74,21.49,21.13,21.73,41.2
175,26.42,24.95,22.01,22.51,20.61,21.37,21.74,21.49,21.13,21.73,41.2,32.27
176,24.95,22.01,22.51,20.61,21.37,21.74,21.49,21.13,21.73,41.2,32.27,25.4
177,22.01,22.51,20.61,21.37,21.74,21.49,21.13,21.73,41.2,32.27,25.4,24.6
178,22.51,20.61,21.37,21.74,21.49,21.13,21.73,41.2,32.27,25.4,24.6,25.05
179,20.61,21.37,21.74,21.49,21.13,21.73,41.2,32.27,25.4,24.6,25.05,22.0
180,21.37,21.74,21.49,21.13,21.73,41.2,32.27,25.4,24.6,25.05,22.0,21.25
181,21.74,21.49,21.13,21.73,41.2,32.27,25.4,24.6,25.05,22.0,21.25,19.19
182,21.49,21.13,21.73,41.2,32.27,25.4,24.6,25.05,22.0,21.25,19.19,18.57
183,21.13,21.73,41.2,32.27,25.4,24.6,25.05,22.0,21.25,19.19,18.57,19.33
184,21.73,41.2,32.27,25.4,24.6,25.05,22.0,21.25,19.19,18.57,19.33,19.03
185,41.2,32.27,25.4,24.6,25.05,22.0,21.25,19.19,18.57,19.33,19.03,20.61
186,32.27,25.4,24.6,25.05,22.0,21.25,19.19,18.57,19.33,19.03,20.61,21.6
187,25.4,24.6,25.05,22.0,21.25,19.19,18.57,19.33,19.03,20.61,21.6,33.62
188,24.6,25.05,22.0,21.25,19.19,18.57,19.33,19.03,20.61,21.6,33.62,29.16
189,25.05,22.0,21.25,19.19,18.57,19.33,19.03,20.61,21.6,33.62,29.16,25.66
190,22.0,21.25,19.19,18.57,19.33,19.03,20.61,21.6,33.62,29.16,25.66,25.81
191,21.25,19.19,18.57,19.33,19.03,20.61,21.6,33.62,29.16,25.66,25.81,22.99
192,19.19,18.57,19.33,19.03,20.61,21.6,33.62,29.16,25.66,25.81,22.99,22.11
193,18.57,19.33,19.03,20.61,21.6,33.62,29.16,25.66,25.81,22.99,22.11,21.55
194,19.33,19.03,20.61,21.6,33.62,29.16,25.66,25.81,22.99,22.11,21.55,20.61
195,19.03,20.61,21.6,33.62,29.16,25.66,25.81,22.99,22.11,21.55,20.61,19.95
196,20.61,21.6,33.62,29.16,25.66,25.81,22.99,22.11,21.55,20.61,19.95,19.9
197,21.6,33.62,29.16,25.66,25.81,22.99,22.11,21.55,20.61,19.95,19.9,20.65
198,33.62,29.16,25.66,25.81,22.99,22.11,21.55,20.61,19.95,19.9,20.65,29.02
199,29.16,25.66,25.81,22.99,22.11,21.55,20.61,19.95,19.9,20.65,29.02,31.07
200,25.66,25.81,22.99,22.11,21.55,20.61,19.95,19.9,20.65,29.02,31.07,23.72
201,25.81,22.99,22.11,21.55,20.61,19.95,19.9,20.65,29.02,31.07,23.72,23.77
202,22.99,22.11,21.55,20.61,19.95,19.9,20.65,29.02,31.07,23.72,23.77,23.4
203,22.11,21.55,20.61,19.95,19.9,20.65,29.02,31.07,23.72,23.77,23.4,22.02
204,21.55,20.61,19.95,19.9,20.65,29.02,31.07,23.72,23.77,23.4,22.02,20.79
205,20.61,19.95,19.9,20.65,29.02,31.07,23.72,23.77,23.4,22.02,20.79,17.6
206,19.95,19.9,20.65,29.02,31.07,23.72,23.77,23.4,22.02,20.79,17.6,17.22
207,19.9,20.65,29.02,31.07,23.72,23.77,23.4,22.02,20.79,17.6,17.22,16.88
208,20.65,29.02,31.07,23.72,23.77,23.4,22.02,20.79,17.6,17.22,16.88,17.51
209,29.02,31.07,23.72,23.77,23.4,22.02,20.79,17.6,17.22,16.88,17.51,18.32
210,31.07,23.72,23.77,23.4,22.02,20.79,17.6,17.22,16.88,17.51,18.32,20.24
211,23.72,23.77,23.4,22.02,20.79,17.6,17.22,16.88,17.51,18.32,20.24,35.82
212,23.77,23.4,22.02,20.79,17.6,17.22,16.88,17.51,18.32,20.24,35.82,27.14
213,23.4,22.02,20.79,17.6,17.22,16.88,17.51,18.32,20.24,35.82,27.14,22.98
214,22.02,20.79,17.6,17.22,16.88,17.51,18.32,20.24,35.82,27.14,22.98,21.77
215,20.79,17.6,17.22,16.88,17.51,18.32,20.24,35.82,27.14,22.98,21.77,20.98
216,17.6,17.22,16.88,17.51,18.32,20.24,35.82,27.14,22.98,21.77,20.98,20.07
217,17.22,16.88,17.51,18.32,20.24,35.82,27.14,22.98,21.77,20.98,20.07,19.5
218,16.88,17.51,18.32,20.24,35.82,27.14,22.98,21.77,20.98,20.07,19.5,19.41
219,17.51,18.32,20.24,35.82,27.14,22.98,21.77,20.98,20.07,19.5,19.41,18.56
220,18.32,20.24,35.82,27.14,22.98,21.77,20.98,20.07,19.5,19.41,18.56,18.3
221,20.24,35.82,27.14,22.98,21.77,20.98,20.07,19.5,19.41,18.56,18.3,19.05
222,35.82,27.14,22.98,21.77,20.98,20.07,19.5,19.41,18.56,18.3,19.05,25.38
223,27.14,22.98,21.77,20.98,20.07,19.5,19.41,18.56,18.3,19.05,25.38,23.48
224,22.98,21.77,20.98,20.07,19.5,19.41,18.56,18.3,19.05,25.38,23.48,19.94
225,21.77,20.98,20.07,19.5,19.41,18.56,18.3,19.05,25.38,23.48,19.94,19.41
226,20.98,20.07,19.5,19.41,18.56,18.3,19.05,25.38,23.48,19.94,19.41,19.45
227,20.07,19.5,19.41,18.56,18.3,19.05,25.38,23.48,19.94,19.41,19.45,18.07
228,19.5,19.41,18.56,18.3,19.05,25.38,23.48,19.94,19.41,19.45,18.07,16.71
229,19.41,18.56,18.3,19.05,25.38,23.48,19.94,19.41,19.45,18.07,16.71,15.76
230,18.56,18.3,19.05,25.38,23.48,19.94,19.41,19.45,18.07,16.71,15.76,16.03
231,18.3,19.05,25.38,23.48,19.94,19.41,19.45,18.07,16.71,15.76,16.03,15.86
232,19.05,25.38,23.48,19.94,19.41,19.45,18.07,16.71,15.76,16.03,15.86,15.76
233,25.38,23.48,19.94,19.41,19.45,18.07,16.71,15.76,16.03,15.86,15.76,17.82
234,23.48,19.94,19.41,19.45,18.07,16.71,15.76,16.03,15.86,15.76,17.82,18.55
235,19.94,19.41,19.45,18.07,16.71,15.76,16.03,15.86,15.76,17.82,18.55,21.87
236,19.41,19.45,18.07,16.71,15.76,16.03,15.86,15.76,17.82,18.55,21.87,21.18
237,19.45,18.07,16.71,15.76,16.03,15.86,15.76,17.82,18.55,21.87,21.18,20.23
238,18.07,16.71,15.76,16.03,15.86,15.76,17.82,18.55,21.87,21.18,20.23,19.77
239,16.71,15.76,16.03,15.86,15.76,17.82,18.55,21.87,21.18,20.23,19.77,19.57
240,15.76,16.03,15.86,15.76,17.82,18.55,21.87,21.18,20.23,19.77,19.57,18.9
241,16.03,15.86,15.76,17.82,18.55,21.87,21.18,20.23,19.77,19.57,18.9,18.0
242,15.86,15.76,17.82,18.55,21.87,21.18,20.23,19.77,19.57,18.9,18.0,18.02
243,15.76,17.82,18.55,21.87,21.18,20.23,19.77,19.57,18.9,18.0,18.02,17.76
244,17.82,18.55,21.87,21.18,20.23,19.77,19.57,18.9,18.0,18.02,17.76,19.08
245,18.55,21.87,21.18,20.23,19.77,19.57,18.9,18.0,18.02,17.76,19.08,19.49
246,21.87,21.18,20.23,19.77,19.57,18.9,18.0,18.02,17.76,19.08,19.49,27.98
247,21.18,20.23,19.77,19.57,18.9,18.0,18.02,17.76,19.08,19.49,27.98,27.66
248,20.23,19.77,19.57,18.9,18.0,18.02,17.76,19.08,19.49,27.98,27.66,23.06
249,19.77,19.57,18.9,18.0,18.02,17.76,19.08,19.49,27.98,27.66,23.06,20.99
250,19.57,18.9,18.0,18.02,17.76,19.08,19.49,27.98,27.66,23.06,20.99,21.14
251,18.9,18.0,18.02,17.76,19.08,19.49,27.98,27.66,23.06,20.99,21.14,18.98
252,18.0,18.02,17.76,19.08,19.49,27.98,27.66,23.06,20.99,21.14,18.98,19.01
253,18.02,17.76,19.08,19.49,27.98,27.66,23.06,20.99,21.14,18.98,19.01,19.5
254,17.76,19.08,19.49,27.98,27.66,23.06,20.99,21.14,18.98,19.01,19.5,18.42
255,19.08,19.49,27.98,27.66,23.06,20.99,21.14,18.98,19.01,19.5,18.42,17.55
256,19.49,27.98,27.66,23.06,20.99,21.14,18.98,19.01,19.5,18.42,17.55,17.19
257,27.98,27.66,23.06,20.99,21.14,18.98,19.01,19.5,18.42,17.55,17.19,18.03
258,27.66,23.06,20.99,21.14,18.98,19.01,19.5,18.42,17.55,17.19,18.03,17.34
259,23.06,20.99,21.14,18.98,19.01,19.5,18.42,17.55,17.19,18.03,17.34,18.11
260,20.99,21.14,18.98,19.01,19.5,18.42,17.55,17.19,18.03,17.34,18.11,19.0
261,21.14,18.98,19.01,19.5,18.42,17.55,17.19,18.03,17.34,18.11,19.0,19.62
262,18.98,19.01,19.5,18.42,17.55,17.19,18.03,17.34,18.11,19.0,19.62,19.79
263,19.01,19.5,18.42,17.55,17.19,18.03,17.34,18.11,19.0,19.62,19.79,18.62
264,19.5,18.42,17.55,17.19,18.03,17.34,18.11,19.0,19.62,19.79,18.62,18.77
265,18.42,17.55,17.19,18.03,17.34,18.11,19.0,19.62,19.79,18.62,18.77,19.24
266,17.55,17.19,18.03,17.34,18.11,19.0,19.62,19.79,18.62,18.77,19.24,19.81
267,17.19,18.03,17.34,18.11,19.0,19.62,19.79,18.62,18.77,19.24,19.81,20.62
268,18.03,17.34,18.11,19.0,19.62,19.79,18.62,18.77,19.24,19.81,20.62,20.51
269,17.34,18.11,19.0,19.62,19.79,18.62,18.77,19.24,19.81,20.62,20.51,21.28
270,18.11,19.0,19.62,19.79,18.62,18.77,19.24,19.81,20.62,20.51,21.28,30.18
271,19.0,19.62,19.79,18.62,18.77,19.24,19.81,20.62,20.51,21.28,30.18,37.52
272,19.62,19.79,18.62,18.77,19.24,19.81,20.62,20.51,21.28,30.18,37.52,30.12
273,19.79,18.62,18.77,19.24,19.81,20.62,20.51,21.28,30.18,37.52,30.12,28.2
274,18.62,18.77,19.24,19.81,20.62,20.51,21.28,30.18,37.52,30.12,28.2,26.62
